DOCID,REVIEW,,,,,,,,,,,,,,,,,,,,,,SENTIMENT
1,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.",,,,,,,,,,,,,,,,,,,,,,Positive
2,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,,,,,,,,,,,,,,,,,,,,,,Positive
3,Miserable and Unpleasant Slog of a Movie about Nothing,,,,,,,,,,,,,,,,,,,,,,Negative
4,I don't get it,,,,,,,,,,,,,,,,,,,,,,Neutral
5,Stop comparing it with Endgame,,,,,,,,,,,,,,,,,,,,,,Neutral
6,"I have never left a review for any title, good or bad but this is such a piece of garbage that I registered an IMDB account just to vent my opinion. I want these 2 hours of my life back",,,,,,,,,,,,,,,,,,,,,,Negative
7,"just a joke,the movie.",,,,,,,,,,,,,,,,,,,,,,Negative
8,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10,,,,,,,,,,,,,,,,,,,,,,Positive
9,The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:),,,,,,,,,,,,,,,,,,,,,,Positive
10,Overrated and badly directed film with a misleading title,,,,,,,,,,,,,,,,,,,,,,Negative
11,"Over-hyped, overacted with no proper entertainment - The Millennial Joker",,,,,,,,,,,,,,,,,,,,,,Neutral
12,I don't get what everyone else seems to be seeing.,,,,,,,,,,,,,,,,,,,,,,Neutral
13,Insult to the best comic book villain of all time,,,,,,,,,,,,,,,,,,,,,,Negative
14,Masterpiece,,,,,,,,,,,,,,,,,,,,,,Positive
15,The best thing DC has done since Dark Knight,,,,,,,,,,,,,,,,,,,,,,Positive
16,"Dark, serious, tense... and bad!",,,,,,,,,,,,,,,,,,,,,,Negative
17,Good Film but nothing to do with the Joker,,,,,,,,,,,,,,,,,,,,,,Neutral
18,Great acting - Terrible film,,,,,,,,,,,,,,,,,,,,,,Neutral
19,Clear the Shelf for the Oscars,,,,,,,,,,,,,,,,,,,,,,Positive
20,Masterpiece *Movie Of the Year* Best Actor - Joaquin Phoenix*,,,,,,,,,,,,,,,,,,,,,,Positive
21,Not real Joker,,,,,,,,,,,,,,,,,,,,,,Neutral
22,fell asleep,,,,,,,,,,,,,,,,,,,,,,Negative
23,Cinematic Masterpiece,,,,,,,,,,,,,,,,,,,,,,Positive
24,"Dark, depressing and unsettling film with a haunting score. Incredible acting, directing and screenplay. Joaquin killed it. 5 out of 5 stars! Mental health is so important guys!!!",,,,,,,,,,,,,,,,,,,,,,Neutral
25,JOKER is a gift to the audiences. I felt as a privileged person to sit in a movie theater and watching it. Joaquin Phoenix and Todd Phillips gave to the world of cinema a rear pearl.,,,,,,,,,,,,,,,,,,,,,,Positive
26,Derivative and Uninspired,,,,,,,,,,,,,,,,,,,,,,Neutral
27,A breath of fresh air.Think heath ledgers joker in taxi driver with a game of thrones like soundtrack,,,,,,,,,,,,,,,,,,,,,,Positive
28,Just wasn't for me,,,,,,,,,,,,,,,,,,,,,,Neutral
29,Disappointing,,,,,,,,,,,,,,,,,,,,,,Negative
30,A waist of time and a free ticket,,,,,,,,,,,,,,,,,,,,,,Negative
31,"The Joker won. Absolutely tremendous, what acting skills are we talking about ? It is amazing!",,,,,,,,,,,,,,,,,,,,,,Positive
32,Am I the only one who didn't like this movie!?!?,,,,,,,,,,,,,,,,,,,,,,Neutral
33,That is best joker can i see And joaquin phoenix will win the oscar,,,,,,,,,,,,,,,,,,,,,,Positive
34,One of the worst movies I have seen in years. Best part is Cream's White Room. Director is terrible.,,,,,,,,,,,,,,,,,,,,,,Negative
35,Lame,,,,,,,,,,,,,,,,,,,,,,Negative
36,"A masterclass in acting, sound mixing and cinematography.",,,,,,,,,,,,,,,,,,,,,,Positive
37,The slowness of the movie is accompanied with a score full of low notes on stringed instruments.,,,,,,,,,,,,,,,,,,,,,,Negative
38,No surprises here. This was just the same idea played over over and over. How about that Joker Ballet in the toilet?! Hilariously bad.,,,,,,,,,,,,,,,,,,,,,,Negative
39,One of the worst movies I have ever seen.,,,,,,,,,,,,,,,,,,,,,,Negative
40,Disturbing. Just got out of the movie.,,,,,,,,,,,,,,,,,,,,,,Negative
41,Joaquin Phoenix does a great job with the part he was dealt ,,,,,,,,,,,,,,,,,,,,,,Neutral
42,I'm amazed. I was shocked by how perfect Joaquin's acting was.,,,,,,,,,,,,,,,,,,,,,,Positive
43,"I was blown away by the script and performance. Artistic, gritty, brilliant. Oscar for Todd and Joaquin.",,,,,,,,,,,,,,,,,,,,,,Positive
44,"Don't fall for it this movie is totally overhyped, borders between boring and irritating.",,,,,,,,,,,,,,,,,,,,,,Negative
45,"Below Average, Over Hyped",,,,,,,,,,,,,,,,,,,,,,Neutral
46,A movie worthy of an oscar. One of the best movie in superhero genre since The Dark Knight. Phoenix is the actor who was born for this role after Ledger.,,,,,,,,,,,,,,,,,,,,,,Positive
47,Just go see it.. The end,,,,,,,,,,,,,,,,,,,,,,Neutral
48,Dark Gloomy Disturbing Horrible should be R rated,,,,,,,,,,,,,,,,,,,,,,Negative
49,Do not lead to torturing children (mother) nor murdering people.,,,,,,,,,,,,,,,,,,,,,,Neutral
50,"I don't get it. I think it's a case of ""everyone thinks this is great so I should too"". I was definitely not impressed.",,,,,,,,,,,,,,,,,,,,,,Neutral
51,There is no reason for this movie to have been made.,,,,,,,,,,,,,,,,,,,,,,Negative
52,Joaquine phoenix's acting is just great and Todd Phillips direction and screenplay makes it even greater,,,,,,,,,,,,,,,,,,,,,,Positive
53,I really don't understand all the hype over this movie.,,,,,,,,,,,,,,,,,,,,,,Neutral
54,Will Hopefully Be Talked About for a Long Time,,,,,,,,,,,,,,,,,,,,,,Positive
55,Just went and watched the joker movie and it has to be the worst movie I have ever seen 1 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,Negative
56,This movie was so slow,,,,,,,,,,,,,,,,,,,,,,Neutral
57,"Overly forced perception of the performing ""arts""",,,,,,,,,,,,,,,,,,,,,,Neutral
58,Dissappointing and Underwhelming,,,,,,,,,,,,,,,,,,,,,,Negative
59,Not sure what kind of message this movie is supposed to send.,,,,,,,,,,,,,,,,,,,,,,Neutral
60,Phoenix is great. The cinematography as well. That's it.,,,,,,,,,,,,,,,,,,,,,,Positive
61,I have never seen a movie so perfect,,,,,,,,,,,,,,,,,,,,,,Positive
62,Piece of garbage,,,,,,,,,,,,,,,,,,,,,,Negative
63,Way too many 10s. This was a technical masterpiece and Phoenix was great.,,,,,,,,,,,,,,,,,,,,,,Positive
64,Dark and Depressive,,,,,,,,,,,,,,,,,,,,,,Neutral
65,Joker Deserves Oscar... Wow,,,,,,,,,,,,,,,,,,,,,,Positive
66,Don't listen to critics. Great Movie!!,,,,,,,,,,,,,,,,,,,,,,Positive
67,Badly overhyped and poorly executed by all,,,,,,,,,,,,,,,,,,,,,,Negative
68,Beautiful. Haunting. Hard-hitting.,,,,,,,,,,,,,,,,,,,,,,Positive
69,Unreasonable & gloomy movie,,,,,,,,,,,,,,,,,,,,,,Negative
70,Amazing!!,,,,,,,,,,,,,,,,,,,,,,Positive
71,Absolutely stellar performance by Joaquin Phoenix. His portrayal of Joker is so realistic and gripping. Emotions overload.,,,,,,,,,,,,,,,,,,,,,,Positive
72,Wow just wow,,,,,,,,,,,,,,,,,,,,,,Positive
73,This joker Standalone movie is a Masterpiece and the acting of Joaquin Pheonix makes it Oscar Worthy.,,,,,,,,,,,,,,,,,,,,,,Positive
74,I feel like the only person who thought this movie was absolutely terrible and a complete waste of time and money.,,,,,,,,,,,,,,,,,,,,,,Negative
75,"What a horrible movie, from minute 1 you knew what's going to happen at the end. Overacting job of Phoenix. Poor acting by rest of actors.",,,,,,,,,,,,,,,,,,,,,,Negative
76,Insanely dark yet good,,,,,,,,,,,,,,,,,,,,,,Neutral
77,Nice acting but bad story,,,,,,,,,,,,,,,,,,,,,,Neutral
78,"The acting,the story,the music, and the cinematography it was all awesome it was perfect looking forward to seeing this movie again with friends and family",,,,,,,,,,,,,,,,,,,,,,Positive
79,This movie is totally garbage.,,,,,,,,,,,,,,,,,,,,,,Negative
80,"Joaquin Phoenix, maybe the best living actor today, what a performance.",,,,,,,,,,,,,,,,,,,,,,Positive
81,The plot could've been a little more defined BUT Joaquin is phenomenal. Flawlessly done. He deserves every award possible for his performance.,,,,,,,,,,,,,,,,,,,,,,Positive
82,"Morally, I dislike the depiction of mental disturbances relating to violence.",,,,,,,,,,,,,,,,,,,,,,Neutral
83,"Possibly the worst thing I've ever seen , everybody else in the cinema thought that too",,,,,,,,,,,,,,,,,,,,,,Negative
84,No comments..... best achievement in every way …,,,,,,,,,,,,,,,,,,,,,,Positive
85,Joaquin Phoenix performance is not the best this year !! It is actually the best of the decade . I have watched this movie for 4 times until now ! Well deserved Oscar Joker .,,,,,,,,,,,,,,,,,,,,,,Positive
86,Extraordinary acting performance from Phoenix and well worth his Oscar.,,,,,,,,,,,,,,,,,,,,,,Positive
87,"The first half was boring the second was a bit better. The actor did a good job, however overall average movie. Nothing special.",,,,,,,,,,,,,,,,,,,,,,Neutral
88,Incredible acting by Joker.,,,,,,,,,,,,,,,,,,,,,,Positive
89,I was just stunned after watching the movie . A sure nomination for the Oscars !!!,,,,,,,,,,,,,,,,,,,,,,Positive
90,Abusive,,,,,,,,,,,,,,,,,,,,,,Negative
91,It was a mastery in film making..from Joaquins performance to Todd Phillip's Visionary.,,,,,,,,,,,,,,,,,,,,,,Positive
92,This movie is a great well made movie. It tells a story about a failed comedian and has a very good plot. Not recommended for small children,,,,,,,,,,,,,,,,,,,,,,Neutral
93,"I wouldn't change a thing. Absolutely perfectly paced, dialogued and acted. I WANT SEQUELS!",,,,,,,,,,,,,,,,,,,,,,Positive
94,Not everyone's cup of tea,,,,,,,,,,,,,,,,,,,,,,Nuetral
95,"Good film, but I've got mixed feelings about it.",,,,,,,,,,,,,,,,,,,,,,Neutral
96,"Wow ...what a movie and what an actor , Go ahead and watch it, it really worth it, I've already seen it twice in three days.",,,,,,,,,,,,,,,,,,,,,,Positive
97,"A masterpiece, one of the best movies of tge decade and century",,,,,,,,,,,,,,,,,,,,,,Positive
98,Very different from all the past interpretations of the character,,,,,,,,,,,,,,,,,,,,,,Neutral
99,Waste of time,,,,,,,,,,,,,,,,,,,,,,Negative
100,What a performance by Joaquin. The way they build the character is mind blowing! Loved Heath Ledger but Joaquin has actually outdone him here…,,,,,,,,,,,,,,,,,,,,,,Positive
